
DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,
8,0.54,0.07,2.68,5.44,9.66,2.95,52.39,100.12,26.06,298.76,722.98,
16,0.82,1.33,2.68,0.75,1.77,3.49,8.99,13.80,154.36,57.37,151.21,
32,0.66,1.32,2.68,5.47,1.78,3.83,7.43,104.38,26.54,53.92,150.09,
64,0.66,1.23,2.68,5.47,1.13,3.99,38.55,64.40,23.00,58.94,63.98,
128,0.88,1.33,2.52,6.40,1.64,3.06,6.50,12.65,96.16,52.65,115.97,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,0.51,1.35,1.97,4.68,11.49,22.22,41.06,80.51,163.84,231.40,431.84,851.40,1493.03,2408.60,
16,0.67,1.31,2.74,5.38,10.39,22.30,42.35,85.06,210.35,306.79,651.65,1148.00,2080.84,3545.39,
32,0.69,1.36,2.76,5.73,10.63,22.07,50.71,90.58,171.49,317.98,655.92,1164.68,2509.56,4215.45,
64,0.69,1.35,2.82,5.73,11.05,22.81,42.21,79.50,165.84,248.25,704.26,1245.07,1806.46,3444.14,
128,0.49,1.00,2.81,5.58,10.56,16.12,42.00,82.74,167.63,346.45,498.96,842.42,1877.07,3455.51,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,3504.32,4644.24,3465.34,3451.76,3458.55,3530.77,3619.77,3341.03,3429.34,4332.85,3436.31,3419.66,3294.86,3365.91,
16,3328.33,3362.80,4594.83,4552.61,3390.29,3549.03,3747.54,4381.19,3845.13,3396.53,3368.62,3323.92,3299.30,4646.01,
32,2917.33,3660.36,1715.32,3345.61,3466.05,3846.01,3060.23,2474.80,3235.21,3154.22,2728.25,3152.82,3459.92,3386.17,
64,3259.36,3045.53,4421.46,3382.24,1328.89,3461.33,3184.18,4496.74,3335.08,3382.22,3617.58,4169.35,3377.14,3129.12,
128,2548.22,4393.01,3492.67,3443.06,3407.94,3445.16,3116.92,3389.83,3720.47,3380.34,3093.86,3319.71,2979.33,3101.40,

DGX,Numtrials
