
Rabbit,Num elements
Local Work Size,,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,33554432,
,8,     0.013,     0.026,     0.052,     0.103,     0.183,     0.419,     0.780,     0.440,     0.538,     1.016,     1.467,     1.940,     2.273,     2.471,     2.812,
,16,     0.010,     0.035,     0.075,     0.116,     0.244,     0.371,     0.685,     0.391,     0.542,     1.079,     1.879,     2.582,     4.031,     4.267,     5.098,
,32,     0.011,     0.033,     0.071,     0.074,     0.328,     0.401,     0.719,     0.426,     0.544,     1.604,     2.891,     3.807,     5.277,     6.604,     8.680,
,64,     0.014,     0.032,     0.061,     0.093,     0.190,     0.367,     0.841,     0.627,     0.729,     1.571,     2.233,     3.905,     4.803,     9.028,    11.384,
,128,     0.016,     0.021,     0.057,     0.137,     0.266,     0.375,     0.681,     0.468,     0.667,     1.132,     2.252,     5.532,     5.673,     8.156,    12.844,
,256,     0.010,     0.024,     0.052,     0.131,     0.259,     0.582,     0.860,     0.475,     0.815,     1.152,     2.143,     3.948,     6.306,     8.589,    13.265,
,512,     0.013,     0.023,     0.054,     0.116,     0.297,     0.417,     0.736,     0.660,     0.622,     1.291,     2.465,     4.091,     6.068,     8.287,    13.424,
,1024,     0.012,     0.023,     0.076,     0.099,     0.221,     0.352,     0.796,     0.442,     0.613,     1.179,     2.188,     4.084,     7.356,     8.873,    12.339,

DGX,Num elements
Local Work Size,,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,33554432,
,8,     0.019,     0.042,     0.067,     0.151,     0.253,     0.556,     0.976,     1.500,     0.921,     1.064,     1.074,     2.879,     0.558,     3.417,     4.357,
,16,     0.018,     0.033,     0.074,     0.132,     0.278,     0.533,     1.062,     1.981,     0.936,     1.130,     2.059,     3.807,     0.800,     5.346,     7.705,
,32,     0.021,     0.034,     0.085,     0.148,     0.296,     0.533,     1.230,     1.931,     1.038,     0.874,     2.432,     5.129,     7.353,     9.753,    12.734,
,64,     0.021,     0.041,     0.083,     0.134,     0.286,     0.642,     1.269,     2.564,     1.314,     1.666,     3.320,     5.704,     9.063,    11.810,    20.822,
,128,     0.017,     0.037,     0.082,     0.172,     0.338,     0.536,     1.039,     2.540,     1.178,     1.693,     3.421,     6.150,    10.029,    15.042,    26.860,
,256,     0.021,     0.043,     0.068,     0.174,     0.346,     0.527,     1.302,     2.567,     1.410,     1.699,     3.433,     5.856,    10.292,    15.080,    26.637,
,512,     0.021,     0.037,     0.087,     0.141,     0.331,     0.671,     1.336,     2.596,     1.350,     1.702,     3.412,     6.263,    10.096,    14.764,    27.235,
,1024,     0.022,     0.042,     0.084,     0.168,     0.340,     0.659,     1.346,     2.723,     1.420,     1.778,     3.349,     6.252,     9.731,    15.259,    26.852,

DGX,Num elements
Local Work Size,,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,33554432,
,8,     0.018,     0.042,     0.075,     0.169,     0.326,     0.610,     1.058,     1.861,     0.704,     0.982,     0.040,     0.080,     1.867,     3.838,     4.376,
,16,     0.018,     0.023,     0.070,     0.151,     0.330,     0.633,     1.115,     1.466,     0.340,     0.841,     0.897,     0.310,     3.383,     2.441,     7.515,
,32,     0.012,     0.037,     0.075,     0.162,     0.294,     0.538,     1.243,     2.154,     0.011,     0.021,     1.307,     3.758,     2.551,     8.475,    11.497,
,64,     0.022,     0.042,     0.066,     0.124,     0.292,     0.666,     1.147,     2.461,     0.876,     0.554,     0.987,     3.396,     3.132,    11.843,    10.156,
,128,     0.021,     0.038,     0.079,     0.134,     0.379,     0.683,     1.490,     2.282,     0.038,     1.233,     3.056,     5.746,     9.469,     0.441,    27.445,
,256,     0.018,     0.047,     0.086,     0.190,     0.302,     0.758,     1.273,     2.220,     1.100,     0.858,     3.085,     4.056,     9.409,    10.815,     0.039,
,512,     0.013,     0.042,     0.071,     0.193,     0.292,     0.610,     1.460,     2.250,     0.010,     0.016,     0.877,     1.481,     5.527,     8.447,    23.564,
,1024,     0.020,     0.033,     0.090,     0.132,     0.281,     0.561,     1.148,     2.099,     0.010,     0.023,     1.520,     0.081,     6.136,    12.176,    15.959,
